,Crop,N_min,N_max,P_min,P_max,K_min,K_max,Avg_Temp,Rainfall,Productivity,EUR/ha,EUR/kg,Area,Production,Production_kg
56,Arecanut,79,100,28,40,79,140,25.24791666666667,841.84,6734.421364985164,34577.231643382795,5.13440276,674.0,4539.0,4539000.0
57,Arecanut,79,100,28,40,79,140,24.6,706.38,1398.571428571429,7180.829002914286,5.13440276,700.0,979.0,979000.0
58,Arecanut,79,100,28,40,79,140,24.67083333333333,587.89,1397.5409836065571,7175.538283442624,5.13440276,732.0,1023.0,1023000.0
59,Arecanut,79,100,28,40,79,140,25.40291666666667,513.26,1398.2843137254902,7179.354839656863,5.13440276,816.0,1141.0,1141000.0
60,Arecanut,79,100,28,40,79,140,24.616250000000004,719.6,1398.1797497155858,7178.817965915813,5.13440276,879.0,1229.0,1229000.0
61,Arecanut,79,100,28,40,79,140,24.77125,724.93,6734.693877551021,34578.63083265306,5.13440276,833.0,5610.0,5610000.0
62,Arecanut,79,100,28,40,79,140,24.7575,606.63,1397.4654377880183,7175.15040078341,5.13440276,868.0,1213.0,1213000.0
63,Arecanut,79,100,28,40,79,140,24.839166666666664,877.9,6735.4838709677415,34582.68697703226,5.13440276,620.0,4176.0,4176000.0
64,Arecanut,79,100,28,40,79,140,24.632916666666667,797.2199999999999,6735.068912710567,34580.556414211336,5.13440276,653.0,4398.0,4398000.0
65,Arecanut,79,100,28,40,79,140,25.107916666666668,671.84,6734.430082256169,34577.2764013631,5.13440276,851.0,5731.0,5731000.0
66,Arecanut,79,100,28,40,79,140,25.129166666666663,786.64,10813.287514318445,55519.77325819016,5.13440276,873.0,9440.0,9440000.0
67,Arecanut,79,100,28,40,79,140,24.598333333333336,688.53,8098.527746319366,41581.103212638736,5.13440276,883.0,7151.0,7151000.0
68,Arecanut,79,100,28,40,79,140,25.1825,478.33,8025.901942645698,41208.21308580944,5.13440276,1081.0,8676.0,8676000.0
69,Arecanut,79,100,28,40,79,140,25.071666666666665,666.96,11138.94523326572,57191.83114916836,5.13440276,986.0,10983.0,10983000.0
70,Arecanut,79,100,28,40,79,140,25.3325,820.4499999999999,9252.225519287837,47504.65224237389,5.13440276,674.0,6236.0,6236000.0
71,Arecanut,79,100,28,40,79,140,23.66166666666666,1274.86,977.1332961517012,5016.995892649192,5.13440276,1793.0,1752.0,1752000.0
72,Arecanut,79,100,28,40,79,140,23.911666666666665,1541.1699999999998,5355.124653739612,27495.36680230471,5.13440276,1805.0,9666.0,9666000.0
73,Arecanut,79,100,28,40,79,140,23.25625,1159.04,977.1071800208116,5016.8618019146725,5.13440276,1922.0,1878.0,1878000.0
74,Arecanut,79,100,28,40,79,140,23.29125,968.33,976.9736842105264,5016.176380657896,5.13440276,2128.0,2079.0,2079000.0
75,Arecanut,79,100,28,40,79,140,24.08416666666667,942.78,977.137488255559,5017.01741659881,5.13440276,3193.0,3120.0,3120000.0
76,Arecanut,79,100,28,40,79,140,23.32458333333333,1205.6,977.0312948607524,5016.472176939421,5.13440276,3483.0,3403.0,3403000.0
77,Arecanut,79,100,28,40,79,140,23.47916666666667,1269.15,5354.891304347826,27494.16869254348,5.13440276,3680.0,19706.0,19706000.0
78,Arecanut,79,100,28,40,79,140,23.42625,1083.0400000000002,977.2191673212884,5017.436789819325,5.13440276,3819.0,3732.0,3732000.0
79,Arecanut,79,100,28,40,79,140,23.497083333333336,1409.21,5354.896907216495,27494.19745992784,5.13440276,3880.0,20777.0,20777000.0
80,Arecanut,79,100,28,40,79,140,23.325000000000003,1458.14,5354.887983706721,27494.151643034624,5.13440276,3928.0,21034.0,21034000.0
81,Arecanut,79,100,28,40,79,140,23.71125,1210.9800000000002,5354.987834549878,27494.66431747932,5.13440276,4110.0,22009.0,22009000.0
82,Arecanut,79,100,28,40,79,140,23.71625,1317.7300000000002,10812.73854961832,55516.95465231871,5.13440276,4192.0,45327.0,45327000.0
83,Arecanut,79,100,28,40,79,140,23.29875,1249.07,7212.254335260116,37030.61856478151,5.13440276,4325.0,31193.0,31193000.0
84,Arecanut,79,100,28,40,79,140,23.760416666666668,823.6899999999999,7212.048716833406,37029.5628369639,5.13440276,4598.0,33161.0,33161000.0
85,Arecanut,79,100,28,40,79,140,23.626666666666665,1188.6,7816.118047673099,40131.09807645858,5.13440276,4405.0,34430.0,34430000.0
86,Arecanut,79,100,28,40,79,140,23.848750000000003,1460.61,9250.0,47493.22553,5.13440276,32.0,296.0,296000.0
87,Arecanut,79,100,28,40,79,140,25.829583333333336,525.1399999999999,963.317384370016,4946.059437065391,5.13440276,7524.0,7248.0,7248000.0
88,Arecanut,79,100,28,40,79,140,26.1375,647.7099999999999,4680.68051693113,24032.498964809423,5.13440276,6113.0,28613.0,28613000.0
89,Arecanut,79,100,28,40,79,140,25.43958333333333,525.6999999999999,963.26447542485,4945.787781231302,5.13440276,9827.0,9466.0,9466000.0
90,Arecanut,79,100,28,40,79,140,25.710833333333333,386.7,963.301242491566,4945.976558160125,5.13440276,12153.0,11707.0,11707000.0
91,Arecanut,79,100,28,40,79,140,26.595416666666672,376.57,963.2465543644716,4945.695767289434,5.13440276,14366.0,13838.0,13838000.0
92,Arecanut,79,100,28,40,79,140,25.645000000000003,505.38000000000005,963.2363084563387,4945.643160670438,5.13440276,14498.0,13965.0,13965000.0
93,Arecanut,79,100,28,40,79,140,25.816666666666663,614.2399999999999,4680.721941992434,24032.711657758515,5.13440276,12688.0,59389.0,59389000.0
94,Arecanut,79,100,28,40,79,140,25.736666666666665,478.92,963.2928475033738,4945.933454909582,5.13440276,14820.0,14276.0,14276000.0
95,Arecanut,79,100,28,40,79,140,25.7875,607.93,4680.702441572007,24032.61153474605,5.13440276,15318.0,71699.0,71699000.0
96,Arecanut,79,100,28,40,79,140,25.57375,573.1600000000001,4680.698351115422,24032.590532694478,5.13440276,15465.0,72387.0,72387000.0
97,Arecanut,79,100,28,40,79,140,26.001666666666665,547.7299999999999,4680.749471139317,24032.85300348625,5.13440276,16545.0,77443.0,77443000.0
98,Arecanut,79,100,28,40,79,140,26.05583333333333,578.28,9899.993838190892,50830.55568679032,5.13440276,16229.0,160667.0,160667000.0
99,Arecanut,79,100,28,40,79,140,25.59083333333333,524.81,8098.20937480902,41579.46856507731,5.13440276,16363.0,132511.0,132511000.0
100,Arecanut,79,100,28,40,79,140,26.1,352.20000000000005,8025.911541359921,41208.26236947424,5.13440276,17251.0,138455.0,138455000.0
101,Arecanut,79,100,28,40,79,140,25.903749999999995,521.38,12894.764957264955,66206.91678613248,5.13440276,16848.0,217251.0,217251000.0
102,Arecanut,79,100,28,40,79,140,26.107916666666668,603.93,11285.980221058757,57946.767996309485,5.13440276,17190.0,194006.0,194006000.0
103,Arecanut,79,100,28,40,79,140,26.16708333333333,602.59,1437.5,7380.7039675,5.13440276,64.0,92.0,92000.0
104,Arecanut,79,100,28,40,79,140,26.52666666666667,758.3199999999999,6666.666666666667,34229.35173333334,5.13440276,6.0,40.0,40000.0
105,Arecanut,79,100,28,40,79,140,25.860833333333336,645.55,1421.0526315789473,7296.25655368421,5.13440276,19.0,27.0,27000.0
106,Arecanut,79,100,28,40,79,140,26.29958333333333,457.9,1423.076923076923,7306.6500815384625,5.13440276,26.0,37.0,37000.0
107,Arecanut,79,100,28,40,79,140,27.11,460.93,1433.3333333333333,7359.310622666667,5.13440276,30.0,43.0,43000.0
108,Arecanut,79,100,28,40,79,140,26.1575,568.75,1437.5,7380.7039675,5.13440276,32.0,46.0,46000.0
109,Arecanut,79,100,28,40,79,140,26.25958333333333,832.27,6706.896551724138,34435.9081662069,5.13440276,58.0,389.0,389000.0
110,Arecanut,79,100,28,40,79,140,26.12333333333333,657.3499999999999,1435.483870967742,7370.352349032259,5.13440276,62.0,89.0,89000.0
111,Arecanut,79,100,28,40,79,140,26.195,759.04,6709.677419354839,34450.18626064517,5.13440276,62.0,416.0,416000.0
112,Arecanut,79,100,28,40,79,140,26.065,701.0200000000001,6709.677419354839,34450.18626064517,5.13440276,62.0,416.0,416000.0
113,Arecanut,79,100,28,40,79,140,26.410833333333333,722.84,6702.702702702703,34414.37525621622,5.13440276,74.0,496.0,496000.0
114,Arecanut,79,100,28,40,79,140,26.469583333333336,777.5299999999999,10815.533980582524,55531.3075207767,5.13440276,103.0,1114.0,1114000.0
115,Arecanut,79,100,28,40,79,140,26.064166666666665,640.03,8101.851851851852,41598.17050925927,5.13440276,108.0,875.0,875000.0
116,Arecanut,79,100,28,40,79,140,26.50208333333333,460.21,8022.727272727273,41191.913051818185,5.13440276,132.0,1059.0,1059000.0
117,Arecanut,79,100,28,40,79,140,26.260416666666664,682.04,11100.0,56991.87063600001,5.13440276,10.0,111.0,111000.0
118,Arecanut,79,100,28,40,79,140,26.465000000000003,688.53,9000.0,46209.62484,5.13440276,1.0,9.0,9000.0
119,Arecanut,79,100,28,40,79,140,25.039166666666667,798.3600000000002,1397.2602739726028,7174.097007123289,5.13440276,219.0,306.0,306000.0
120,Arecanut,79,100,28,40,79,140,25.39583333333333,1057.04,6714.285714285715,34473.847102857144,5.13440276,7.0,47.0,47000.0
121,Arecanut,79,100,28,40,79,140,24.74875,844.3399999999999,1411.764705882353,7248.568602352941,5.13440276,17.0,24.0,24000.0
122,Arecanut,79,100,28,40,79,140,24.99125,600.4499999999999,1400.0,7188.163864,5.13440276,10.0,14.0,14000.0
123,Arecanut,79,100,28,40,79,140,25.754583333333336,615.97,1375.0,7059.803795000001,5.13440276,8.0,11.0,11000.0
124,Arecanut,79,100,28,40,79,140,25.05875,725.6100000000001,1363.6363636363635,7001.45830909091,5.13440276,11.0,15.0,15000.0
125,Arecanut,79,100,28,40,79,140,25.06,1179.62,6733.333333333333,34571.64525066667,5.13440276,15.0,101.0,101000.0
126,Arecanut,79,100,28,40,79,140,24.93916666666667,1037.2,1388.888888888889,7131.114944444445,5.13440276,18.0,25.0,25000.0
127,Arecanut,79,100,28,40,79,140,25.09583333333333,1129.23,6705.882352941177,34430.70086117648,5.13440276,17.0,114.0,114000.0
128,Arecanut,79,100,28,40,79,140,24.79666666666667,916.81,6777.777777777777,34799.84092888889,5.13440276,9.0,61.0,61000.0
129,Arecanut,79,100,28,40,79,140,25.167500000000004,1126.71,6733.333333333333,34571.64525066667,5.13440276,15.0,101.0,101000.0
130,Arecanut,79,100,28,40,79,140,25.21625,1171.28,10812.5,55515.7298425,5.13440276,16.0,173.0,173000.0
131,Arecanut,79,100,28,40,79,140,24.80708333333333,982.02,8125.0,41717.022425,5.13440276,16.0,130.0,130000.0
132,Arecanut,79,100,28,40,79,140,25.17125,638.5,8000.0,41075.22208000001,5.13440276,4.0,32.0,32000.0
133,Arecanut,79,100,28,40,79,140,24.988333333333333,888.3499999999999,11117.64705882353,57082.477743529416,5.13440276,17.0,189.0,189000.0
134,Arecanut,79,100,28,40,79,140,25.09208333333333,1041.2099999999998,9285.714285714286,47676.59705714286,5.13440276,14.0,130.0,130000.0
135,Arecanut,79,100,28,40,79,140,25.471250000000005,824.26,1500.0,7701.60414,5.13440276,2.0,3.0,3000.0
136,Arecanut,79,100,28,40,79,140,24.793333333333333,1018.41,1375.0,7059.803795000001,5.13440276,8.0,11.0,11000.0
137,Arecanut,79,100,28,40,79,140,24.8,1671.09,6444.444444444444,33088.37334222222,5.13440276,9.0,58.0,58000.0
138,Arecanut,79,100,28,40,79,140,24.70125,1535.4700000000005,1333.3333333333333,6845.870346666667,5.13440276,9.0,12.0,12000.0
139,Arecanut,79,100,28,40,79,140,24.94291666666667,1603.29,6428.571428571428,33006.874885714285,5.13440276,7.0,45.0,45000.0
140,Arecanut,79,100,28,40,79,140,24.581666666666663,1209.0300000000002,6428.571428571428,33006.874885714285,5.13440276,7.0,45.0,45000.0
